Time;Trace
0;-2.14
0.02498;-2.14531
0.04996;-2.14281
0.07494;-2.14937
0.09992;-2.1525
0.1249;-2.16156
0.14988;-2.16438
0.17486;-2.15719
0.19984;-2.15812
0.22482;-2.16656
0.2498;-2.15281
0.27478;-2.15188
0.29976;-2.14313
0.32474;-2.14469
0.34972;-2.14875
0.3747;-2.14406
0.39968;-2.13281
0.42466;-2.16094
0.44964;-2.14031
0.47462;-2.15594
0.4996;-2.14812
0.52458;-2.135
0.54956;-2.14375
0.57454;-2.135
0.59952;-2.13469
0.6245;-2.12781
0.64948;-2.13125
0.67446;-2.15188
0.69944;-2.13719
0.72442;-2.15437
0.7494;-2.15844
0.77438;-2.1575
0.79936;-2.17
0.82434;-2.16125
0.84932;-2.15875
0.8743;-2.15562
0.89928;-2.15969
0.92426;-2.17344
0.94924;-2.155
0.97422;-2.16188
0.9992;-2.16062
1.02418;-2.1625
1.04916;-2.16438
1.07414;-2.15969
1.09912;-2.15781
1.1241;-2.17281
1.14908;-2.15844
1.17406;-2.15375
1.19904;-2.15531
1.22402;-2.15719
1.249;-2.17438
1.27398;-2.14531
1.29896;-2.1525
1.32394;-2.17
1.34892;-2.165
1.3739;-2.16062
1.39888;-2.15875
1.42386;-2.16875
1.44884;-2.15156
1.47382;-2.15313
1.4988;-2.15594
1.52378;-2.14969
1.54876;-2.165
1.57374;-2.15719
1.59872;-2.155
1.6237;-2.15375
1.64868;-2.15469
1.67366;-2.16188
1.69864;-2.15469
1.72362;-2.16625
1.7486;-2.16156
1.77358;-2.16062
1.79856;-2.15594
1.82354;-2.15875
1.84852;-2.15313
1.8735;-2.16625
1.89848;-2.18281
1.92346;-2.18219
1.94844;-2.18469
1.97342;-2.18438
1.9984;-2.18875
2.02338;-2.18344
2.04836;-2.19531
2.07334;-2.17937
2.09832;-2.18156
2.1233;-2.17937
2.14828;-2.17625
2.17326;-2.17937
2.19824;-2.17438
2.22322;-2.17625
2.2482;-2.17031
2.27318;-2.1725
2.29816;-2.17031
2.32314;-2.17313
2.34812;-2.17406
2.3731;-2.18406
2.39808;-2.185
2.42306;-2.19062
2.44804;-2.18625
2.47302;-2.16313
2.498;-2.17031
2.52298;-2.18625
2.54796;-2.17719
2.57294;-2.18344
2.59792;-2.17281
2.6229;-2.17188
2.64788;-2.18
2.67286;-2.18531
2.69784;-2.16656
2.72282;-2.17281
2.7478;-2.16906
2.77278;-2.16687
2.79776;-2.17031
2.82274;-2.17656
2.84772;-2.17188
2.8727;-2.17219
2.89768;-2.15937
2.92266;-2.15344
2.94764;-2.165
2.97262;-2.16531
2.9976;-2.16156
3.02258;-2.17
3.04756;-2.16219
3.07254;-2.16906
3.09752;-2.16969
3.1225;-2.17062
3.14748;-2.15875
