"TimeMin","Mean_Rubi","Mean_Rubi − Caps","SD_Rubi","SD_Rubi − Caps","Lower_Rubi","Lower_Rubi − Caps","Upper_Rubi","Upper_Rubi − Caps"
0,0,0,0,0,0,0,0,0
0.00606664280000002,3.38106636626223e-05,8.75337313454002e-05,0.000169332059538552,0.000401548025250722,-0.00013552139587593,-0.000314014293905321,0.000203142723201174,0.000489081756596122
0.0121332856,6.79131301062508e-05,0.000173465441011043,0.000339102834315889,0.000807709496562537,-0.000271189704209638,-0.000634244055551494,0.00040701596442214,0.00098117493757358
0.0181999284000001,0.000102268918582469,0.000257769933330775,0.000509256288020241,0.00121838761831448,-0.000406987369437772,-0.000960617684983706,0.00061152520660271,0.00147615755164526
0.0242665712000001,0.000136838984185677,0.000340425250238613,0.000679735535052238,0.0016334763637475,-0.000542896550866561,-0.00129305111350888,0.000816574519237914,0.00197390161398611
0.0303332140000001,0.000171584479383101,0.00042140837587254,0.000850483986382485,0.0020528727824058,-0.000678899506999384,-0.00163146440653326,0.00102206846576559,0.00247428115827834
0.0363998568000001,0.000206466621709288,0.000500695110636729,0.00102144515713156,0.00247647672607126,-0.000814978535422268,-0.00197578161543453,0.00122791177884084,0.00297717183670798
0.0424664996000001,0.000241446405867802,0.000578264730649169,0.00119256221010904,0.00290417966261794,-0.000951115804241242,-0.00232591493196877,0.00143400861597685,0.00348244439326711
0.0485331424000002,0.000276485102147703,0.000654090705172076,0.00136377875547633,0.00333588670806737,-0.00108729365332862,-0.00268179600289529,0.00164026385762403,0.00398997741323944
0.0545997852000002,0.000311543743920838,0.000728153497270999,0.00153503800338966,0.00377148690010481,-0.00122349425946882,-0.00304333340283381,0.0018465817473105,0.00449964039737581
0.0606664280000002,0.000346583484971664,0.000800427716785298,0.00170628338500893,0.00421088243423252,-0.00135969990003726,-0.00341045471744722,0.00205286686998059,0.00501131015101782
0.0667330708000002,0.000381565461922877,0.000870891491590742,0.0018774582793207,0.00465396780587963,-0.00149589281739782,-0.00378307631428889,0.00225902374124358,0.00552485929747037
0.0727997136000002,0.000416450829652056,0.000939521828426372,0.0020485061006522,0.00510064002907675,-0.00163205527100014,-0.00416111820065038,0.00246495693030425,0.00604016185750312
0.0788663564000003,0.000451200619344391,0.00100629439656168,0.00221937009282464,0.0055507985044581,-0.00176816947348025,-0.00454450410789642,0.00267057071216903,0.00655709290101979
0.0849329992000003,0.000485776193249121,0.00107118870044334,0.00238999395397162,0.00600433565262275,-0.0019042177607225,-0.00493314695217941,0.00287577014722074,0.00707552435306608
0.0909996420000003,0.000520138275656405,0.00113417789514441,0.00256032049882424,0.00646115512036494,-0.00204018222316784,-0.00532697722522053,0.00308045877448065,0.00759533301550935
0.0970662848000003,0.000554248443194033,0.00119524274658383,0.00273029372905068,0.00692114742951937,-0.00217604528585665,-0.00572590468293554,0.00328454217224471,0.00811639017610319
0.1031329276,0.00058806749032945,0.00125435767027607,0.00289985655224194,0.00738421377809274,-0.00231178906191249,-0.00612985610781667,0.00348792404257139,0.00863857144836881
0.1091995704,0.000621556729063292,0.00131150087990326,0.00306895260301028,0.00785024917236917,-0.00244739587394699,-0.0065387482924659,0.00369050933207357,0.00916175005227243
0.1152662132,0.00065467732283429,0.00136664940490641,0.00323752530800021,0.00831915060215016,-0.00258284798516592,-0.00695250119724375,0.00389220263083451,0.00968580000705657
0.121332856,0.000687390110327764,0.00141977878335521,0.0034055176307732,0.00879081700568847,-0.00271812752044543,-0.00737103822233325,0.00409290774110096,0.0102105957890437
0.1273994988,0.000719656824413195,0.0014708687479957,0.00357287380926663,0.00926514176183838,-0.00285321698485343,-0.00779427301384268,0.00429253063367982,0.0107360105098341
0.1334661416,0.000751437646458101,0.00151989213987543,0.00373953586726174,0.00974202705396706,-0.00298809822080364,-0.00822213491409164,0.00449097351371984,0.0112619191938425
0.1395327844,0.000782694690194702,0.00156683002756304,0.00390544858897817,0.0102213648766298,-0.00312275389878347,-0.00865453484906676,0.00468814327917288,0.0117881949041928
0.1455994272,0.000813388396925017,0.00161165663241601,0.00407055436739835,0.0107030554417175,-0.00325716597047333,-0.00909139880930146,0.00488394276432336,0.0123147120741335
0.151666070000001,0.000843480247876264,0.00165435025378992,0.00423479708380063,0.0111869942550404,-0.00339131683592437,-0.00953264400125052,0.0050782773316769,0.0128413445088304
0.157732712800001,0.000872931421199313,0.00169488794392654,0.00439812018610577,0.0116730782934499,-0.00352518876490646,-0.0099781903495234,0.00527105160730509,0.0133679662373765
0.163799355600001,0.000901702556928353,0.00173324510962982,0.00456046634865626,0.0121612060215849,-0.0036587637917279,-0.0104279609119551,0.00546216890558461,0.0138944511312147
0.169865998400001,0.000929755761629168,0.0017694017119201,0.00472178035367285,0.0126512717820877,-0.00379202459204368,-0.0108818700701676,0.00565153611530201,0.0144206734940078
0.175932641200001,0.000957050676821935,0.00180333027797825,0.00488200343846756,0.0131431763006959,-0.00392495276164562,-0.0113398460227176,0.00583905411528949,0.0149465065786741
0.181999284000001,0.000983549947192336,0.00183501217882171,0.0050410811608512,0.01363681303326,-0.00405753121365887,-0.0118018008544383,0.00602463110804354,0.0154718252120817
0.188065926800001,0.00100921366702769,0.00186442144181822,0.00519895540815725,0.0141320812169308,-0.00418974174112956,-0.0122676597751126,0.00620816907518495,0.015996502658749
0.194132569600001,0.00103400348063091,0.00189153645186419,0.00535557029937027,0.0146288768457165,-0.00432156681873936,-0.0127373403938523,0.00638957378000118,0.0165204132975807
0.200199212400001,0.00105788058701615,0.00191633428409907,0.00551086931264764,0.0151270968947989,-0.00445298872563148,-0.0132107626106999,0.00656874989966379,0.017043431178898
0.206265855200001,0.0010808054214156,0.00193879021399929,0.0056647948241528,0.0156266393439708,-0.0045839894027372,-0.0136878491299715,0.0067456002455684,0.0175654295579701
0.212332498000001,0.00110274046716671,0.00195888443082938,0.00581729216487007,0.0161273995051944,-0.00471455169770336,-0.0141685150743651,0.00692003263203678,0.0180862839360238
0.218399140800001,0.00112364482901719,0.00197658914806604,0.00596830179012113,0.0166292766523754,-0.00484465696110394,-0.0146526875043093,0.00709194661913832,0.0186058658004414
0.224465783600001,0.00114348167645619,0.00199188603897331,0.00611777002234889,0.0171321656912329,-0.0049742883458927,-0.0151402796522596,0.00726125169880508,0.0191240517302062
0.230532426400001,0.00116221076290648,0.00200474893709583,0.00626563825219781,0.0176359648955556,-0.00510342748929134,-0.0156312159584598,0.00742784901510429,0.0196407138326515
0.236599069200001,0.00117979388959664,0.00201515631273921,0.00641185082739877,0.0181405707362215,-0.00523205693780213,-0.0161254144234823,0.0075916447169954,0.0201557270489607
0.242665712000001,0.00119619228255412,0.00202308526403775,0.00655635126530547,0.0186458801980206,-0.00536015898275135,-0.0166227949339829,0.00775254354785959,0.0206689654620583
0.248732354800001,0.00121136616605867,0.00202851093507626,0.00669908163494204,0.0191517907646694,-0.00548771546888337,-0.0171232798295931,0.00791044780100071,0.0211803016997457
