"TimeMin","Mean_Rubi","Mean_Caps","SD_Rubi","SD_Caps","Lower_Rubi","Lower_Caps","Upper_Rubi","Upper_Caps"
0,0,0,0,0,0,0,0,0
0.00606664280000002,3.38106636626223e-05,-5.37230654321695e-05,0.000169332059538552,0.000232215962529329,-0.00013552139587593,-0.000285939027961498,0.000203142723201174,0.000178492897097159
0.0121332856,6.79131301062508e-05,-0.000105552306916113,0.000339102834315889,0.000468606656605805,-0.000271189704209638,-0.000574158963521918,0.00040701596442214,0.000363054349689691
0.0181999284000001,0.000102268918582469,-0.000155501008668852,0.000509256288020241,0.000709131321696593,-0.000406987369437772,-0.000864632330365444,0.00061152520660271,0.000553630313027741
0.0242665712000001,0.000136838984185677,-0.000203586258932002,0.000679735535052238,0.000953740818624738,-0.000542896550866561,-0.00115732707755674,0.000816574519237914,0.000750154559692736
0.0303332140000001,0.000171584479383101,-0.000249823887530387,0.000850483986382485,0.0012023887833533,-0.000678899506999384,-0.00145221267088369,0.00102206846576559,0.000952564895822917
0.0363998568000001,0.000206466621709288,-0.000294228479589705,0.00102144515713156,0.00145503155573415,-0.000814978535422268,-0.00174926003532385,0.00122791177884084,0.00116080307614444
0.0424664996000001,0.000241446405867802,-0.000336818315383435,0.00119256221010904,0.00171161743921821,-0.000951115804241242,-0.00204843575460165,0.00143400861597685,0.00137479912383478
0.0485331424000002,0.000276485102147703,-0.000377605592431271,0.00136377875547633,0.00197210793761013,-0.00108729365332862,-0.0023497135300414,0.00164026385762403,0.00159450234517886
0.0545997852000002,0.000311543743920838,-0.00041660974326149,0.00153503800338966,0.00223644888244762,-0.00122349425946882,-0.00265305862570911,0.0018465817473105,0.00181983913918613
0.0606664280000002,0.000346583484971664,-0.000453844220999279,0.00170628338500893,0.00250459903392979,-0.00135969990003726,-0.00295844325492907,0.00205286686998059,0.00205075481293051
0.0667330708000002,0.000381565461922877,-0.000489326019883173,0.0018774582793207,0.00277650951272129,-0.00149589281739782,-0.00326583553260446,0.00225902374124358,0.00228718349283811
0.0727997136000002,0.000416450829652056,-0.000523070988836129,0.0020485061006522,0.00305213391436983,-0.00163205527100014,-0.00357520490320596,0.00246495693030425,0.0025290629255337
0.0788663564000003,0.000451200619344391,-0.000555093768790292,0.00221937009282464,0.00333142839971588,-0.00176816947348025,-0.00388652216850617,0.00267057071216903,0.00277633463092559
0.0849329992000003,0.000485776193249121,-0.000585412500385027,0.00238999395397162,0.00361434168902148,-0.0019042177607225,-0.00419975418940651,0.00287577014722074,0.00302892918863646
0.0909996420000003,0.000520138275656405,-0.000614039613525495,0.00256032049882424,0.00390083461310843,-0.00204018222316784,-0.00451487422663393,0.00308045877448065,0.00328679499958294
0.0970662848000003,0.000554248443194033,-0.000640994299430881,0.00273029372905068,0.00419085369486994,-0.00217604528585665,-0.00483184799430082,0.00328454217224471,0.00354985939543906
0.1031329276,0.00058806749032945,-0.000666290177630884,0.00289985655224194,0.00448435722257586,-0.00231178906191249,-0.00515064740020674,0.00348792404257139,0.00381806704494498
0.1091995704,0.000621556729063292,-0.000689944150864344,0.00306895260301028,0.00478129656939335,-0.00244739587394699,-0.0054712407202577,0.00369050933207357,0.00409135241852901
0.1152662132,0.00065467732283429,-0.000711972084648754,0.00323752530800021,0.00508162529779386,-0.00258284798516592,-0.00579359738244261,0.00389220263083451,0.0043696532131451
0.121332856,0.000687390110327764,-0.000732388678227329,0.0034055176307732,0.00538529938226901,-0.00271812752044543,-0.00611768806049634,0.00409290774110096,0.00465291070404168
0.1273994988,0.000719656824413195,-0.000751211931352001,0.00357287380926663,0.00569226796355948,-0.00285321698485343,-0.00644347989491149,0.00429253063367982,0.00494105603220748
0.1334661416,0.000751437646458101,-0.000768454505061988,0.00373953586726174,0.00600249120317336,-0.00298809822080364,-0.00677094570823535,0.00449097351371984,0.00523403669811137
0.1395327844,0.000782694690194702,-0.000784135351772201,0.00390544858897817,0.00631591630802177,-0.00312275389878347,-0.00710005165979397,0.00468814327917288,0.00553178095624957
0.1455994272,0.000813388396925017,-0.000798268254910896,0.00407055436739835,0.00663250110178301,-0.00325716597047333,-0.00743076935669391,0.00488394276432336,0.00583423284687212
0.151666070000001,0.000843480247876264,-0.000810870028223185,0.00423479708380063,0.00695219720279024,-0.00339131683592437,-0.00776306723101343,0.0050782773316769,0.00614132717456706
0.157732712800001,0.000872931421199313,-0.000821956551316133,0.00439812018610577,0.00727495814777499,-0.00352518876490646,-0.00809691469909113,0.00527105160730509,0.00645300159645886
0.163799355600001,0.000901702556928353,-0.000831542584247869,0.00456046634865626,0.00760073971754198,-0.0036587637917279,-0.00843228230178985,0.00546216890558461,0.00676919713329411
0.169865998400001,0.000929755761629168,-0.000839645984632318,0.00472178035367285,0.00792949147698087,-0.00379202459204368,-0.00876913746161319,0.00565153611530201,0.00708984549234855
0.175932641200001,0.000957050676821935,-0.000846279643388233,0.00488200343846756,0.00826117292195325,-0.00392495276164562,-0.00910745256534149,0.00583905411528949,0.00741489327856502
0.181999284000001,0.000983549947192336,-0.000851462276632279,0.0050410811608512,0.0085957319360525,-0.00405753121365887,-0.00944719421268478,0.00602463110804354,0.00774426965942022
0.188065926800001,0.00100921366702769,-0.000855207829186585,0.00519895540815725,0.00893312588570118,-0.00418974174112956,-0.00978833371488776,0.00620816907518495,0.00807791805651459
0.194132569600001,0.00103400348063091,-0.000857533028307308,0.00535557029937027,0.00927330662706111,-0.00432156681873936,-0.0101308396553684,0.00638957378000118,0.0084157735987538
0.200199212400001,0.00105788058701615,-0.000858453765185043,0.00551086931264764,0.00961622767846224,-0.00445298872563148,-0.0104746814436473,0.00656874989966379,0.00875777391327719
0.206265855200001,0.0010808054214156,-0.000857984863199756,0.0056647948241528,0.00996184461968424,-0.0045839894027372,-0.010819829482884,0.0067456002455684,0.00910385975648449
0.212332498000001,0.00110274046716671,-0.00085614403657242,0.00581729216487007,0.0103101074434343,-0.00471455169770336,-0.0111662514800067,0.00692003263203678,0.0094539634068619
0.218399140800001,0.00112364482901719,-0.000852944404851596,0.00596830179012113,0.0106609749835976,-0.00484465696110394,-0.0115139193884492,0.00709194661913832,0.00980803057874604
0.224465783600001,0.00114348167645619,-0.000848404450358621,0.00611777002234889,0.0110143957931106,-0.0049742883458927,-0.0118628002434693,0.00726125169880508,0.010165991342752
0.230532426400001,0.00116221076290648,-0.000842538276805567,0.00626563825219781,0.0113703267884791,-0.00510342748929134,-0.0122128650652846,0.00742784901510429,0.0105277885116735
0.236599069200001,0.00117979388959664,-0.000835362527463717,0.00641185082739877,0.0117287200563551,-0.00523205693780213,-0.0125640825838188,0.0075916447169954,0.0108933575288914
0.242665712000001,0.00119619228255412,-0.000826893102603425,0.00655635126530547,0.0120895291040044,-0.00536015898275135,-0.0129164222066078,0.00775254354785959,0.011262636001401
0.248732354800001,0.00121136616605867,-0.000817144891429964,0.00669908163494204,0.0124527093028446,-0.00548771546888337,-0.0132698541942746,0.00791044780100071,0.0116355644114146
0.254798997600001,0.00122527840329478,-0.000806135463520549,0.00683998782053662,0.0128182110770693,-0.00561470941724184,-0.0136243465405899,0.0080652662238314,0.0120120756135488
0.260865640400001,0.00123788756531325,-0.000793878165799727,0.00697900949990137,0.0131859926022558,-0.00574112193458813,-0.0139798707680555,0.00821689706521462,0.0123921144364561
0.266932283200001,0.0012491573402554,-0.000780391249298873,0.00711609375115036,0.0135560030933457,-0.00586693641089495,-0.0143363943426445,0.00836525109140576,0.0127756118440468
0.272998926000001,0.00125904714683096,-0.000765688974114965,0.00725118147719922,0.0139281990242653,-0.00599213433036826,-0.0146938879983802,0.00851022862403018,0.0131625100501503
0.279065568800001,0.00126751893704259,-0.000749787902040038,0.00738421724556508,0.0143025327048209,-0.00611669830852249,-0.015052320606861,0.00865173618260768,0.0135527448027809
0.285132211600001,0.00127453397008257,-0.000732703939918516,0.007515144621758,0.0146789576385501,-0.00624061065167543,-0.0154116615784686,0.00878967859184057,0.0139462536986315
0.291198854400001,0.00128005225312694,-0.000714452045286125,0.00764390535870325,0.015057428981172,-0.00636385310557631,-0.0157718810264581,0.00892395761183019,0.0143429769358859
0.297265497200001,0.00128403703228261,-0.000695049641823929,0.0077704458983524,0.0154378975920347,-0.00648640886606978,-0.0161329472338586,0.00905448293063501,0.0147428479502107
0.303332140000001,0.00128644634797922,-0.000674510302579613,0.00789470514548759,0.0158203209920759,-0.00660825879750837,-0.0164948312946555,0.00918115149346681,0.0151458106894963
0.309398782800001,0.00128724440085928,-0.000652852049800374,0.00801663092493459,0.0162046490509062,-0.0067293865240753,-0.0168575011007066,0.00930387532579387,0.0155517970011058
