"TimeMin","Mean_with epithelium","Mean_without epithelium","SD_with epithelium","SD_without epithelium","Lower_with epithelium","Lower_without epithelium","Upper_with epithelium","Upper_without epithelium"
0,0,0,0,0,0,0,0,0
0.0055333198,-9.87540229624514e-05,-1.36949181206106e-05,9.8804890181036e-05,5.92811505460182e-05,-0.000197558913143487,-7.29760686666287e-05,5.08672185845291e-08,4.55862324254076e-05
0.0110666396,-0.000197516734248757,-3.20348490222109e-05,0.000198421482078304,0.000125694634011266,-0.000395938216327061,-0.000157729483033477,9.04747829546962e-07,9.36597849890553e-05
0.0165999594,-0.000296256777482265,-4.9445281460929e-05,0.000298797828404581,0.000190109374140102,-0.000595054605886846,-0.000239554655601031,2.54105092231628e-06,0.000140664092679173
0.0221332792,-0.000394942718042785,-6.48184445886985e-05,0.000399882610515488,0.000250644954870899,-0.000794825328558273,-0.000315463399459598,4.93989247270384e-06,0.000185826510282201
0.027666599,-0.000493543137263604,-7.83885003700424e-05,0.000501623677757343,0.000307644800560553,-0.000995166815020946,-0.000386033300930596,8.080540493739e-06,0.000229256300190511
0.0331999188,-0.000592026718243706,-9.03901515642476e-05,0.000603968655746452,0.000361458088200538,-0.00119599537399016,-0.000451848239764785,1.19419375027463e-05,0.00027106793663629
0.0387332386,-0.000690362069831789,-0.00010105641118377,0.000706865812002257,0.000412430071792601,-0.00139722788183405,-0.000513486482976371,1.65037421704674e-05,0.000311373660608831
0.0442665584,-0.000788517553238848,-0.000110619538714886,0.000810263884808812,0.000460902070105556,-0.00159878143804766,-0.000571521608820442,2.17463315699635e-05,0.000350282531390669
0.0497998782,-0.000886462028217284,-0.000119314692848681,0.000914110321533022,0.000507219773541014,-0.00180057234975031,-0.000626534466389695,2.7648293315738e-05,0.000387905080692332
0.055333198,-0.000984164138390378,-0.000127375100092044,0.00101835340592953,0.000551722300964191,-0.00200251754431991,-0.000679097401056235,3.41892675391493e-05,0.000424347200872146
0.0608665178,-0.00108180892810233,-0.000135033796289216,0.00112275191780586,0.000594745054470497,-0.00220456084590819,-0.000729778850759713,4.09429897035309e-05,0.000459711258181281
0.0663998376,-0.0011808447057165,-0.00014252473754702,0.00122595480569039,0.000636624026657256,-0.00240679951140689,-0.000779148764204276,4.51100999738848e-05,0.000494099289110237
0.0719331574,-0.00128150565447327,-0.000150081363104757,0.00132767808919654,0.000677692390209756,-0.00260918374366981,-0.000827773753314513,4.61724347232679e-05,0.000527611027104999
0.0774664772,-0.00138374323719468,-0.000157937105325439,0.00142789704358336,0.000718280797642112,-0.00281164028077804,-0.000876217902967551,4.41538063886749e-05,0.000560343692316673
0.082999797,-0.00148750955754634,-0.000166326117891757,0.00152659409484761,0.00075871928811724,-0.00301410365239394,-0.000925045406008996,3.90845373012712e-05,0.000592393170225483
0.0885331168,-0.00159275350433831,-0.00017548124594724,0.00162376019176534,0.000799337352582875,-0.00321651369610364,-0.000974818598530115,3.10066874270284e-05,0.000623856106635634
0.0940664366,-0.0016994259487825,-0.000185635715999727,0.00171938787182796,0.000840463885369257,-0.00341881382061045,-0.00102609960136898,1.99619230454599e-05,0.00065482816936953
0.0995997564,-0.00180747950199472,-0.000197024666115203,0.00181346992765256,0.000882430015307648,-0.00362094942964728,-0.00107945468142285,5.99042565783774e-06,0.000685405349192445
0.1051330762,-0.0019168034418618,-0.000209880580853911,0.00190605929004433,0.000925566626111205,-0.00382286273190613,-0.00113544720696512,-1.07441518174621e-05,0.000715686045257294
0.110666396,-0.00202707542840251,-0.000224436268779098,0.00199740807605674,0.000970206659753445,-0.00402448350445925,-0.00119464292853254,-2.96673523457712e-05,0.000745770390974347
0.1161997158,-0.00213822454319201,-0.000240926214450667,0.00208754766932032,0.00101668746515973,-0.00422577221251233,-0.00125761367961039,-5.06768738716911e-05,0.00077576125070906
0.1217330356,-0.0022502155706109,-0.000259585200056601,0.00217647848801089,0.00106535039356669,-0.0044266940586218,-0.00132493559362329,-7.37370826000105e-05,0.000805765193510091
0.1272663554,-0.00236301203271615,-0.000286415299320269,0.00226420378587875,0.00110876317945985,-0.00462721581859491,-0.00139517847878012,-9.88082468374035e-05,0.000822347880139582
0.1327996752,-0.00247657838445378,-0.000332752781445602,0.00235072563862093,0.00113281170993298,-0.0048273040230747,-0.00146556449137858,-0.00012585274583285,0.000800058928487376
0.138332995,-0.00259088013056211,-0.000398130937844139,0.00243604387133735,0.00114031731498771,-0.00502692400189945,-0.00153844825283185,-0.000154836259224759,0.000742186377143575
0.1438663148,-0.00270588066809684,-0.000481666195874993,0.00252016224086532,0.0011355554209442,-0.00522604290896216,-0.00161722161681919,-0.00018571842723152,0.00065388922506921
0.1493996346,-0.00282154434554398,-0.000582499505029454,0.00260308240056801,0.00112372429614634,-0.00542462674611198,-0.00170622380117579,-0.000218461944975973,0.000541224791116884
0.1549329544,-0.00293783607681336,-0.000699786652760355,0.00268480409975924,0.00111098990663419,-0.0056226401765726,-0.00181077655939455,-0.000253031977054129,0.00041120325387384
0.1604662742,-0.00305472028964241,-0.000832670816904922,0.00276532753635837,0.00110436627814932,-0.00582004782600078,-0.00193703709505424,-0.000289392753284034,0.000271695461244397
0.165999594,-0.00317216089266432,-0.000980281390241414,0.00284465386440333,0.00111121605686053,-0.00601681475706765,-0.00209149744710194,-0.000327507028260987,0.000130934666619112
0.1715329138,-0.00329012236446266,-0.00114171013856811,0.00292278220708988,0.00113837660965424,-0.00621290457155253,-0.00228008674822234,-0.00036734015737278,-3.33352891386919e-06
0.1770662336,-0.00340856985245165,-0.00131558290762073,0.00299970856686182,0.00119166505391529,-0.00640827841931347,-0.00250724796153602,-0.000408861285589833,-0.000123917853705434
0.1825995534,-0.00352746698091341,-0.00150090097887161,0.00307543350747851,0.00127384118316789,-0.00660290048839192,-0.0027747421620395,-0.000452033473434903,-0.00022705979570372
0.1881328732,-0.00364677820479444,-0.00169761740974111,0.00314995443089149,0.00138564782066709,-0.00679673263568593,-0.0030832652304082,-0.000496823773902949,-0.000311969589074024
0.193666193,-0.00376646831162192,-0.00190786660340088,0.00322326649398063,0.0015278424771442,-0.00698973480560255,-0.00343570908054508,-0.000543201817641284,-0.000380024126256678
0.1991995128,-0.00388650156538892,-0.00213038723709903,0.00329536648179587,0.00169515406576246,-0.00718186804718479,-0.00382554130286149,-0.000591135083593054,-0.000435233171336572
0.2047328326,-0.00400684216485514,-0.00236352089256198,0.00336625144994789,0.0018821565420541,-0.00737309361480303,-0.00424567743461608,-0.000640590714907245,-0.000481364350507884
0.2102661524,-0.00412745462225173,-0.00260562034098373,0.00343591643684005,0.00208421061161359,-0.00756337105909177,-0.00468983095259732,-0.000691538185411679,-0.000521409729370141
0.2157994722,-0.00424830360118887,-0.00285504202735613,0.00350435439444352,0.00229745667427843,-0.00775265799563239,-0.00515249870163456,-0.000743949206745349,-0.000557585353077702
0.221332792,-0.00436935317610553,-0.00311012441286115,0.0035715627348077,0.0025186616745665,-0.00794091591091324,-0.00562878608742765,-0.000797790441297827,-0.000591462738294647
0.2268661118,-0.00449056780194782,-0.00336921849482203,0.00363753612565053,0.00274510052411805,-0.00812810392759834,-0.00611431901894009,-0.00085303167629729,-0.000624117970703979
0.2323994316,-0.00461191204341158,-0.00363067612530438,0.00370226683036721,0.00297441784188684,-0.00831417887377879,-0.00660509396719121,-0.000909645213044372,-0.000656258283417536
0.2379327514,-0.00473335019364362,-0.00389284326892651,0.00376575060124449,0.00320452729971914,-0.00849910079488811,-0.00709737056864564,-0.000967599592399126,-0.000688315969207367
0.2434660712,-0.00485484664508159,-0.00415406978637224,0.00382798292541415,0.0034335536241719,-0.00868282957049574,-0.00758762341054414,-0.00102686371966744,-0.000720516162200339
0.248999391,-0.00497636584715495,-0.00441270482923139,0.00388895759825436,0.00365978160247051,-0.00886532344540931,-0.0080724864317019,-0.00108740824890059,-0.000752923226760887
0.2545327108,-0.00509787217256777,-0.00466709275904665,0.00394866789496911,0.0038816220104566,-0.00904654006753688,-0.00854871476950325,-0.00114920427759865,-0.000785470748590051
0.2600660306,-0.00521933004946649,-0.00491558774005259,0.00400711154510733,0.00409760750741951,-0.00922644159457382,-0.0090131952474721,-0.00121221850435916,-0.000817980232633081
