"TimeMin","Mean_light","Mean_difference","SD_light","SD_difference","Lower_light","Lower_difference","Upper_light","Upper_difference"
0,0,0,0,0,0,0,0,0
0.0060666428,-6.16703006439769e-05,NA,3.43015848676975e-05,NA,-9.59718855116744e-05,NA,-2.73687157762794e-05,NA
0.0121332856,-0.000124005589060388,NA,6.76887787971545e-05,NA,-0.000191694367857543,NA,-5.63168102632336e-05,NA
0.0181999284,-0.000187038972149425,NA,0.000100113145245642,NA,-0.000287152117395067,NA,-8.69258269037828e-05,NA
0.0242665712,-0.000250802198305924,NA,0.00013152811743827,NA,-0.000382330315744194,NA,-0.000119274080867654,NA
0.030333214,-0.000315327454198106,NA,0.000161886526230633,NA,-0.000477213980428739,NA,-0.000153440927967472,NA
0.0363998568,-0.000380647494920512,NA,0.000191140410732991,NA,-0.000571787905653503,NA,-0.00018950708418752,NA
0.0424664996,-0.000446793418828229,NA,0.000219244115858634,NA,-0.000666037534686863,NA,-0.000227549302969594,NA
0.0485331424,-0.000513799146088342,NA,0.000246148053491082,NA,-0.000759947199579424,NA,-0.00026765109259726,NA
0.0545997852,-0.000581366273850116,NA,0.000272272546279171,NA,-0.000853638820129287,NA,-0.000309093727570945,NA
0.060666428,-0.000648914364425453,NA,0.000298436825078271,NA,-0.000947351189503724,NA,-0.000350477539347182,NA
0.0667330708,-0.000716444588104299,NA,0.000324637574950303,NA,-0.0010410821630546,NA,-0.000391807013153996,NA
0.0727997136,-0.000783971668229283,NA,0.000350852323570615,NA,-0.0011348239917999,NA,-0.000433119344658668,NA
0.0788663564,-0.000851510346855741,NA,0.000377058576572253,NA,-0.00122856892342799,NA,-0.000474451770283488,NA
0.0849329992,-0.000919075321921194,NA,0.000403233888097363,NA,-0.00132230921001856,NA,-0.00051584143382383,NA
0.090999642,-0.000986681399506245,NA,0.000429355678158593,NA,-0.00141603707766484,NA,-0.000557325721347652,NA
0.0970662848,-0.00105434322176755,NA,0.000455401580141689,NA,-0.00150974480190924,NA,-0.00059894164162586,NA
0.1031329276,-0.00112207559545706,NA,0.000481349006724067,NA,-0.00160342460218113,NA,-0.000640726588732996,NA
0.1091995704,-0.00118989320938859,NA,0.000507175532491724,NA,-0.00169706874188031,NA,-0.000682717676896861,NA
0.1152662132,-0.00125781078411034,NA,0.000532858689281865,NA,-0.00179066947339221,NA,-0.000724952094828475,NA
0.121332856,-0.00132584313418666,NA,0.000558375872160499,NA,-0.00188421900634716,NA,-0.000767467262026163,NA
0.1273994988,-0.0013940048173115,NA,0.000583704849271778,NA,-0.00197770966658328,NA,-0.00081029996803972,NA
0.1334661416,-0.0014623108455627,NA,0.000608822726162932,NA,-0.00207113357172563,NA,-0.000853488119399766,NA
0.1395327844,-0.00153077565707983,NA,0.000633707447714531,NA,-0.00216448310479436,NA,-0.000897068209365296,NA
0.1455994272,-0.00159941419291836,NA,0.000658336221512909,NA,-0.00225775041443127,NA,-0.00094107797140545,NA
0.15166607,-0.00166824107730313,NA,0.000682686720830202,NA,-0.00235092779813333,NA,-0.000985554356472927,NA
0.1577327128,-0.00173727102565564,NA,0.000706736485224043,NA,-0.00244400751087969,NA,-0.0010305345404316,NA
0.1637993556,-0.00180651892738185,NA,0.000730462795634555,NA,-0.00253698172301641,NA,-0.0010760561317473,NA
0.1698659984,-0.0018759991987658,NA,0.000753843635986691,NA,-0.00262984283475249,NA,-0.00112215556277911,NA
0.1759326412,-0.00194572705671764,NA,0.000776855799141244,NA,-0.00272258285585888,NA,-0.0011688712575764,NA
0.181999284,-0.0020157167376914,NA,0.000799477537914816,NA,-0.00281519427560622,NA,-0.00121623919977659,NA
0.1880659268,-0.00208598331471272,NA,0.000821685858363687,NA,-0.0029076691730764,NA,-0.00126429745634903,NA
0.1941325696,-0.00215654134975066,NA,0.000843458528885279,NA,-0.00299999987863594,NA,-0.00131308282086538,NA
0.2001992124,-0.00222740555076837,NA,0.000864773100316429,NA,-0.0030921786510848,NA,-0.00136263245045194,NA
0.2062658552,-0.00229859088434462,NA,0.000885606735913146,NA,-0.00318419762025777,NA,-0.00141298414843147,NA
0.212332498,-0.00237011162418803,NA,0.000905937637160424,NA,-0.00327604926134845,NA,-0.0014641739870276,NA
0.2183991408,-0.00244198319087518,NA,0.000925742286011805,NA,-0.00336772547688698,NA,-0.00151624090486337,NA
0.2244657836,-0.00251421962150508,NA,0.000944999239662381,NA,-0.00345921886116746,NA,-0.0015692203818427,NA
0.2305324264,-0.00258683611874405,NA,0.000963685306195068,NA,-0.00355052142493912,NA,-0.00162315081254898,NA
