"TimeMin","Mean_with epithelium","Mean_without epithelium","SD_with epithelium","SD_without epithelium","Lower_with epithelium","Lower_without epithelium","Upper_with epithelium","Upper_without epithelium"
0,0,0,0,0,0,0,0,0
0.00180663686666668,2.06410166715432e-05,-1.53017775777206e-05,1.49105437343271e-05,3.16259601664513e-06,5.73047293721609e-06,-1.84643735943657e-05,3.55515604058703e-05,-1.21391815610755e-05
0.00361327373333336,4.12999779863566e-05,-3.06547686024552e-05,2.99107265855068e-05,6.55152127711484e-06,1.13892514008498e-05,-3.720628987957e-05,7.12107045718634e-05,-2.41032473253403e-05
0.00541991060000004,6.19477018304613e-05,-4.60532072674577e-05,4.49614950754838e-05,1.01610460781172e-05,1.69862067549775e-05,-5.62142533455749e-05,0.000106909196905945,-3.58921611893406e-05
0.00722654746666672,8.25821604616947e-05,-6.14918258810125e-05,6.00632798622903e-05,1.39885971801852e-05,2.25188805994044e-05,-7.54804230611977e-05,0.000142645440323985,-4.75032287008273e-05
0.0090331843333334,0.000103202577739944,-7.69640489210632e-05,7.52159901124665e-05,1.80244621880322e-05,2.79865876274778e-05,-9.49885111090953e-05,0.000178418567852411,-5.8939586733031e-05
0.0108398212000001,0.000123807938369194,-9.24641148130619e-05,9.04204856122374e-05,2.22630848746946e-05,3.33874527569564e-05,-0.000114727199687756,0.000214228423981431,-7.02010299383672e-05
0.0126464580666668,0.000144397011590434,-0.000107986423180212,0.00010567828545857,2.6701213347178e-05,3.87187261318641e-05,-0.00013468763652739,0.000250075297049004,-8.12852098330341e-05
0.0144530949333334,0.000164969057758794,-0.00012352472695329,0.00012098930972671,3.13296403880091e-05,4.3979748032084e-05,-0.000154854367341299,0.000285958367485505,-9.21950865652811e-05
0.0162597318000001,0.000185523037299757,-0.00013907323458206,0.00013635447590597,3.61429482483531e-05,4.91685613937868e-05,-0.000175216182830413,0.000321877513205726,-0.000102930286333707
0.0180663686666668,0.000206057713037837,-0.000154626081420607,0.000151775230015858,4.11372763763745e-05,5.42824830219791e-05,-0.000195763357796982,0.000357832943053696,-0.000113488805044233
0.0198730055333335,0.000226572376022985,-0.000170177314644436,0.000167251507505333,4.63038877351121e-05,5.93208685176527e-05,-0.000216481202379548,0.000393823883528318,-0.000123873426909324
0.0216796424000002,0.000247065956602515,-0.000185721078520324,0.000182784288034359,5.16374680572127e-05,6.42816685681551e-05,-0.000237358546577537,0.000429850244636874,-0.000134083610463112
0.0234862792666668,0.000267537222784427,-0.000201251312548094,0.000198374935611089,5.71336181264e-05,6.91622871733383e-05,-0.000258384930674493,0.000465912158395515,-0.000144117694421694
0.0252929161333335,0.000287985490513417,-0.000216762323940258,0.000214023405525819,6.278403608794e-05,7.39620849875972e-05,-0.000279546360028198,0.000502008896039236,-0.000153978287852318
